"","SpeciesBinomial","SourceList"
"6073","Eriophorum virginicum","(29, 5)"
"6074","Drosera anglica","(29, 5)"
"6075","Rhizocarpon geographicum","(29, 5)"
"6076","Orthilia secunda","(29, 5)"
"6077","Polysiphonia variegata","29"
"6078","Betula pumila","(29, 5)"
"6079","Microtus chrotorrhinus","(29, 5)"
"6080","Carex haydenii","(29, 5)"
"6081","Bisporella resinicola","29"
"6082","Polysiphonia paniculata","29"
"6083","Bachmanniomyces uncialicola","29"
"6084","Rorippa sylvestris","(29, 5)"
"6085","Fischerella thermalis","29"
"6086","Mycena epipterygia","29"
"6087","Phaeotremella mycophaga","29"
"6088","Cladonia fimbriata","(29, 5)"
"6089","Ribes hirtellum","(29, 5)"
"6090","Aronia arbutifolia","29"
"6091","Lobarina scrobiculata","29"
"6092","Desmarestia aculeata","(29, 28)"
"6093","Amandinea punctata","(29, 5)"
"6094","Hypericum mutilum","(29, 5)"
"6095","Placynthiella icmalea","(29, 5)"
"6096","Xanthoparmelia plittii","(29, 5)"
"6097","Lentinellus cochleatus","29"
"6098","Lecanora strobilina","(29, 5)"
"6099","Bacidia polychroa","29"
"6100","Micromitrium megalosporum","29"
"6101","Calicium salicinum","(29, 5)"
"6102","Lepraria humida","29"
"6103","Ovicuculispora parmeliae","29"
"6104","Sisymbrium officinale","(29, 5)"
"6105","Arthothelium ruanum","29"
"6106","Arachnopeziza aurelia","29"
"6107","Cetrariella delisei","29"
"6108","Cetraria laevigata","29"
"6109","Schistidium strictum","29"
"6110","Splachnum ampullaceum","(29, 5)"
"6111","Phlyctis speirea","29"
"6112","Ilex laevigata","(29, 5)"
"6113","Acrospermum adeanum","29"
"6114","Ectocarpus parvus","29"
"6115","Mycocalicium subtile","29"
"6116","Lecanora layana","29"
"6117","Oxalis stricta","(29, 5)"
"6118","Chaenotheca chrysocephala","(29, 5)"
"6119","Ulva linza","(29, 28)"
"6120","Remispora maritima","29"
"6121","Viola porteriana","29"
"6122","Micarea prasina","(29, 5)"
"6123","Nephroma parile","(29, 5)"
"6124","Callithamnion tetragonum","(29, 28)"
"6125","Lepra multipunctoides","29"
"6126","Polytrichum perigoniale","29"
"6127","Trichaptum fuscoviolaceum","29"
"6128","Marsupella sphacelata","29"
"6129","Cephaloziella rubella","29"
"6130","Scirpus cyperinus","(29, 5, 17, 19)"
"6131","Scytosiphon lomentaria","(29, 28)"
"6132","Traponora varians","29"
"6133","Ctenidium malacodes","29"
"6134","Zoophthora aphidis","29"
"6135","Hapalosiphon pumilus","29"
"6136","Stereocaulon saxatile","(29, 5)"
"6137","Trematodon ambiguus","(29, 5)"
"6138","Persicaria arifolia","(29, 5)"
"6139","Celastrus scandens","(29, 5, 19)"
"6140","Dictyosiphon ekmanii","(29, 28)"
"6141","Chlorotylium cataractum","29"
"6142","Ectocarpus siliculosus","(29, 28)"
"6143","Cerastium arvense","(29, 5)"
"6144","Lecanora rugosella","(29, 5)"
"6145","Cortinarius trivialis","29"
"6146","Cyperus diandrus","(29, 5)"
"6147","Taphrina fusca","29"
"6148","Xylographa opegraphella","29"
"6149","Vouauxiomyces truncatus","29"
"6150","Ochrolechia androgyna","(29, 5)"
"6151","Solidago patula","29"
"6152","Carex hostiana","29"
"6153","Dermatocarpon moulinsii","29"
"6154","Carex tribuloides","(29, 5)"
"6155","Triploceras verticillatum","29"
"6156","Cerioporus scutellatus","29"
"6157","Pertusaria pustulata","29"
"6158","Trapeliopsis granulosa","(29, 5)"
"6159","Calliergonella cuspidata","29"
"6160","Anomodon minor","29"
"6161","Micarea lapillicola","29"
"6162","Pronectria oligospora","29"
"6163","Hypotrachyna catawbiensis","29"
"6164","Arctium nemorosum","29"
"6165","Penttilamyces lichenicola","29"
"6166","Mycoblastus caesius","29"
"6167","Sarea resinae","29"
"6168","Cosmarium subcrenatum","(29, 17, 19)"
"6169","Carex exilis","(29, 5)"
"6170","Japewiella dollypartoniana","29"
"6171","Trapelia coarctata","(29, 5)"
"6172","Antithamnion floccosum","(29, 28)"
"6173","Aspicilia cinerea","(29, 5)"
"6174","Spergularia marina","(29, 5)"
"6175","Carex atlantica","(29, 5)"
"6176","Agrostis hyemalis","(29, 5)"
"6177","Biatoropsis usnearum","29"
"6178","Russula crustosa","29"
"6179","Petrocelis middendorffii","29"
"6180","Valsa ceratophora","29"
"6181","Biatora printzenii","29"
"6182","Anthostoma ellisii","29"
"6183","Macrolepiota procera","29"
"6184","Dicranum ontariense","29"
"6185","Salix candida","(29, 5)"
"6186","Bryum uliginosum","(29, 5)"
"6187","Lycopus virginicus","(29, 5)"
"6188","Cladonia cornuta","(29, 5)"
"6189","Lecanora subpallens","29"
"6190","Rhytidiadelphus subpinnatus","29"
"6191","Peltigera neckeri","(29, 5)"
"6192","Hyphoderma setigerum","29"
"6193","Cladonia maxima","(29, 5)"
"6194","Sciurohypnum curtum","29"
"6195","Fontinalis flaccida","(29, 5)"
"6196","Pseudophormidium golenkinianum","29"
"6197","Armillaria mellea","(29, 5)"
"6198","Punctaria crispata","29"
"6199","Physcomitrium pyriforme","29"
"6200","Candelariella efflorescens","(29, 5)"
"6201","Hyella caespitosa","29"
"6202","Chara foliolosa","29"
"6203","Ustanciosporium gigantosporum","29"
"6204","Symphyotrichum boreale","(29, 5)"
"6205","Schizochlamys gelatinosa","(29, 17, 19)"
"6206","Taphrina johansonii","29"
"6207","Antennaria howellii","(29, 5)"
"6208","Amanita verna","(29, 5)"
"6209","Osmunda regalis","(29, 5, 17, 19)"
"6210","Gloeocapsopsis crepidinum","29"
"6211","Schistidium confertum","29"
"6212","Gaylussacia dumosa","29"
"6213","Bilimbia sabuletorum","29"
"6214","Panicum acuminatum","29"
"6215","Lepista regularis","29"
"6216","Segestria leptalea","29"
"6217","Amelanchier canadensis","(29, 5)"
"6218","Anisothecium varium","29"
"6219","Chaetomorpha linum","(29, 28)"
"6220","Solidago nemoralis","(29, 5)"
"6221","Epibryon arachnoideum","29"
"6222","Myosotis laxa","(29, 5)"
"6223","Acleris hastiana","(29, 10)"
"6224","Lepyronia quadrangularis","(29, 5)"
"6225","Sirex noctilio","(29, 14)"
"6226","Tomentella lilacinogrisea","29"
"6227","Rheumaptera prunivorata","(29, 10)"
"6228","Datana ministra","(29, 5, 10)"
"6229","Phryxe pecosensis","29"
"6230","Acrochaetium moniliforme","29"
"6231","Xylena thoracica","29"
"6232","Plagodis pulveraria","(29, 10)"
"6233","Nealgedonia extricalis","29"
"6234","Archips packardiana","29"
"6235","Metanema inatomaria","(29, 5, 10)"
"6236","Epirrita autumnata","(29, 10)"
"6237","Enytus montanus","29"
"6238","Lithophane tepida","29"
"6239","Rhyacophila carolina","(29, 17, 19)"
"6240","Scathophaga stercoraria","29"
"6241","Scatopsciara calamophila","29"
"6242","Dejongia lobidactylus","(29, 10)"
"6243","Obelia geniculata","(29, 5)"
"6244","Potamia scabra","29"
"6245","Cortinarius decipiens","29"
"6246","Botrytis cinerea","29"
"6247","Phytophthora gonapodyides","29"
"6248","Aphis spiraephila","29"
"6249","Ptilostomis ocellifera","29"
"6250","Monalocoris americanus","(29, 5)"
"6251","Paraleptophlebia volitans","(29, 5, 9, 17, 19)"
"6252","Tripos muelleri","29"
"6253","Lochmaeus manteo","(29, 10)"
"6254","Fredericqia deveauniensis","29"
"6255","Chaetoceros lorenzianus","29"
"6256","Trichouropoda parisiana","29"
"6257","Archanara oblonga","(29, 5)"
"6258","Sylvicola cinctus","29"
"6259","Lycia ursaria","(29, 5)"
"6260","Ectopleura larynx","(29, 5)"
"6261","Ponera pennsylvanica","(29, 5)"
"6262","Erythroneura vitifex","29"
"6263","Microstomum zicklerorum","29"
"6264","Cortinarius piceidisjungendus","29"
"6265","Halichondria panicea","(29, 5)"
"6266","Stactobiella delira","29"
"6267","Lype diversa","(29, 17, 19)"
"6268","Leucoma salicis","29"
"6269","Hydroptila spinata","29"
"6270","Agrotis vetusta","(29, 5)"
"6271","Acrobasis carpinivorella","29"
"6272","Semiothisa bicolorata","29"
"6273","Archips tsuganus","29"
"6274","Chlorotettix fallax","29"
"6275","Epinotia sotipena","29"
"6276","Plagodis alcoolaria","(29, 5, 10)"
"6277","Tolype velleda","(29, 5, 10)"
"6278","Larix decidua","(29, 5)"
"6279","Norellisoma spinimanum","29"
"6280","Ampedus melsheimeri","29"
"6281","Cadophora malorum","29"
"6282","Inocybe tahquamenonensis","29"
"6283","Cortinarius purpureus","29"
"6284","Uroobovella dryocoetes","29"
"6285","Chaetoceros contortus","29"
"6286","Nycteola cinereana","29"
"6287","Apharetra dentata","(29, 5)"
"6288","Cinara pineum","29"
"6289","Uroleucon cirsii","29"
"6290","Hydropsyche leonardi","(29, 17, 19)"
"6291","Aphomia terrenella","29"
"6292","Cheilotrichia stigmatica","29"
"6293","Leptocera neofinalis","29"
"6294","Ampedus mixtus","29"
"6295","Zale galbanata","29"
"6296","Aphis craccae","29"
"6297","Lissonota acrobasidis","29"
"6298","Chaetoceros socialis","29"
"6299","Schizura badia","(29, 5, 10)"
"6300","Caracara plancus","(29, 27)"
"6301","Phaethon aethereus","(29, 27)"
"6302","Fregata magnificens","(29, 5, 27)"
"6303","Stercorarius skua","(29, 27)"
"6304","Turdus iliacus","(29, 27)"
"6305","Calamospiza melanocorys","(29, 27)"
"6306","Myiarchus cinerascens","(29, 27)"
"6307","Stercorarius maccormicki","(29, 27)"
"6308","Branta leucopsis","(29, 27)"
"6309","Selasphorus rufus","(29, 27)"
"6310","Sula leucogaster","29"
"6311","Cardamine concatenata","(29, 5)"
"6312","Lithothamnion ungeri","29"
"6313","Lithothamnion norvegicum","29"
"6314","Phymatolithon lenormandii","29"
"6315","Cylindrospermum muscicola","29"
"6316","Schizogonium murale","29"
"6317","Plagiospora gracilis","29"
"6318","Amphithrix violacea","29"
"6319","Calothrix fasciculata","29"
"6320","Spongonema tomentosum","(29, 28)"
"6321","Hypnea musciformis","29"
"6322","Phyllosiphon arisari","29"
"6323","Ulva hopkirkii","29"
"6324","Zygogonium ericetorum","29"
"6325","Dictyota mertensii","29"
"6326","Rivularia atra","29"
"6327","Planktolyngbya limnetica","(29, 17, 19)"
"6328","Protohalopteris radicans","(29, 28)"
"6329","Fucus miclonensis","29"
"6330","Leathesia marina","(29, 28)"
"6331","Mougeotia macrospora","29"
"6332","Gymnogongrus crenulatus","29"
"6333","Symplocastrum friesii","29"
"6334","Calothrix pulvinata","29"
"6335","Porphyra tenuissima","29"
"6336","Microchaete grisea","29"
"6337","Micrasterias arcuata","29"
"6338","Micrasterias triangularis","29"
"6339","Closterium praelongum","29"
"6340","Pleurotaenium nodosum","(29, 17, 19)"
"6341","Brongniartella byssoides","29"
"6342","Mougeotia laetevirens","29"
"6343","Bulbochaete repanda","29"
"6344","Codium tomentosum","29"
"6345","Cladophora rupestris","(29, 28)"
"6346","Staurastrum sebaldi","29"
"6347","Bolbocoleon piliferum","29"
"6348","Scagelothamnion pusillum","29"
"6349","Monoraphidium minutum","(29, 17, 19)"
"6350","Cladophora fracta","(29, 17, 19)"
"6351","Phormidium irriguum","29"
"6352","Cosmarium margaritiferum","29"
"6353","Micrasterias laticeps","29"
"6354","Bambusina borreri","(29, 17, 19)"
"6355","Closterium dianae","(29, 17, 19)"
"6356","Cylindrospermum majus","29"
"6357","Stigonema panniforme","29"
"6358","Chroococcus minutus","(29, 17, 19)"
"6359","Desmonostoc muscorum","29"
"6360","Leptolyngbya nostocorum","29"
"6361","Myrionema corunnae","29"
"6362","Pleurocapsa crepidinum","29"
"6363","Staurastrum muticum","(29, 17, 19)"
"6364","Desmodesmus maximus","29"
"6365","Micractinium pusillum","(29, 17, 19)"
"6366","Actinastrum hantzschii","(29, 17, 19)"
"6367","Calothrix fusca","(29, 17, 19)"
"6368","Calothrix aeruginea","29"
"6369","Calothrix confervicola","29"
"6370","Sarcodia montagneana","29"
"6371","Anabaena torulosa","29"
"6372","Closterium juncidum","(29, 19)"
"6373","Closterium gracile","(29, 17, 19)"
"6374","Penium spirostriolatum","(29, 19)"
"6375","Dictyopteris delicatula","29"
"6376","Batrachospermum helminthosum","29"
"6377","Batrachospermum turfosum","29"
"6378","Alsidium triquetrum","29"
"6379","Claudea elegans","29"
"6380","Oedogonium crassiusculum","29"
"6381","Nodularia harveyana","29"
"6382","Kamptonema laetevirens","29"
"6383","Fortiea tenuissima","29"
"6384","Chara vulgaris","29"
"6385","Nitella intermedia","29"
"6386","Phormidium papyraceum","29"
"6387","Sternotherus odoratus","(29, 5, 18, 27)"
"6388","Amanita frostiana","(29, 5)"
"6389","Dirca palustris","(29, 5)"
"6390","Diplosoma listerianum","29"
"6391","Gentiana clausa","(29, 5)"
"6392","Lamium amplexicaule","(29, 5)"
"6393","Platynota exasperatana","(29, 10)"
"6394","Philanthus politus","29"
"6395","Sphecius speciosus","29"
"6396","Climacodon septentrionalis","29"
"6397","Cortinarius limonius","29"
"6398","Hetaerina americana","(29, 4, 5, 17, 19)"
"6399","Megacollybia rodmanii","29"
"6400","Junonia coenia","(29, 5, 10)"
"6401","Stephanitis takeyai","29"
"6402","Emmelina monodactyla","(29, 10)"
"6403","Kokkocynips decidua","29"
"6404","Vaccinium oxycoccos","(29, 5)"
"6405","Hygrocybe conica","29"
"6406","Phigalia titea","(29, 5)"
"6407","Lasallia pensylvanica","(29, 5)"
"6408","Pluteus cervinus","(29, 5)"
"6409","Lysimachia vulgaris","(29, 5)"
"6410","Glischrochilus fasciatus","29"
"6411","Stonemyia rasa","29"
"6412","Coquillettidia perturbans","(29, 12)"
"6413","Setophaga townsendi","(29, 27)"
"6414","Leptoceletes basalis","29"
"6415","Muhlenbergia glomerata","(29, 5)"
"6416","Peltandra virginica","(29, 5, 17, 19)"
"6417","Cotinus coggygria","29"
"6418","Phellinus gilvus","29"
"6419","Anomis privata","29"
"6420","Rhopalomyia capitata","29"
"6421","Liriomyza brassicae","29"
"6422","Viola blanda","(29, 5)"
"6423","Thunnus thynnus","(29, 1, 15, 18, 26)"
"6424","Lithophane baileyi","29"
"6425","Cephaloon lepturides","(29, 5)"
"6426","Antaeotricha schlaegeri","(29, 10)"
"6427","Podisus placidus","(29, 5)"
"6428","Conocephalus brevipennis","(29, 5)"
"6429","Ceratomia amyntor","(29, 10)"
"6430","Merodon equestris","(29, 5)"
"6431","Machimus sadyates","(29, 5)"
"6432","Papilio troilus","(29, 5, 10)"
"6433","Pterostichus melanarius","(29, 6)"
"6434","Polygrammate hebraeicum","29"
"6435","Cybister fimbriolatus","29"
"6436","Stigmella villosella","29"
"6437","Hemaris gracilis","(29, 5, 10)"
"6438","Banasa dimidiata","29"
"6439","Celithemis eponina","(29, 4, 5)"
"6440","Carex vulpinoidea","(29, 5)"
"6441","Rubus laciniatus","29"
"6442","Strymon melinus","(29, 10)"
"6443","Enallagma minusculum","(29, 4, 5)"
"6444","Phalacrocorax brasilianus","(29, 27)"
"6445","Euthochtha galeator","29"
"6446","Brachiacantha ursina","29"
"6447","Petasites hybridus","29"
"6448","Persicaria longiseta","(29, 5, 14)"
"6449","Malva moschata","(29, 5)"
"6450","Poecilanthrax tegminipennis","(29, 5)"
"6451","Miscanthus sinensis","29"
"6452","Solidago flexicaulis","(29, 5)"
"6453","Euagrotis illapsa","(29, 5)"
"6454","Pacificanthia rotundicollis","29"
"6455","Pleurobrachia pileus","(29, 5)"
"6456","Utricularia purpurea","(29, 5, 17, 19)"
"6457","Scutellaria lateriflora","(29, 5)"
"6458","Gentianopsis crinita","(29, 5)"
"6459","Orchesella villosa","29"
"6460","Diplolepis polita","29"
"6461","Achatia latex","29"
"6462","Cyathus stercoreus","29"
"6463","Rudbeckia laciniata","(29, 5)"
"6464","Hedya separatana","29"
"6465","Lactarius indigo","29"
"6466","Chrysops univittatus","29"
"6467","Caenurgina crassiuscula","(29, 5, 10)"
"6468","Carronella pellucida","29"
"6469","Trichaptum abietinum","29"
"6470","Plicaturopsis crispa","29"
"6471","Acronicta insularis","29"
"6472","Marmara elotella","29"
"6473","Cystopteris bulbifera","(29, 5)"
"6474","Eriophyes tiliae","29"
"6475","Eulogia ochrifrontella","(29, 10)"
"6476","Veronica arvensis","(29, 5)"
"6477","Platypatrobus lacustris","(29, 6)"
"6478","Liatris scariosa","29"
"6479","Woronichinia naegeliana","(29, 17, 19)"
"6480","Ribes missouriense","29"
"6481","Flammulina velutipes","29"
"6482","Lonicera canadensis","(29, 5)"
"6483","Centrodera decolorata","(29, 5)"
"6484","Graphocephala fennahi","29"
"6485","Galeopsis tetrahit","(29, 5)"
"6486","Deloyala guttata","(29, 5)"
"6487","Colobopterus erraticus","29"
"6488","Ocypus nitens","29"
"6489","Plusia putnami","(29, 10)"
"6490","Crataegus monogyna","(29, 5)"
"6491","Usnea trichodea","(29, 5)"
"6492","Cornus kousa","29"
"6493","Metcalfa pruinosa","29"
"6494","Cotula coronopifolia","29"
"6495","Carex prasina","(29, 5)"
"6496","Litylenchus crenatae","(29, 14)"
"6497","Echium vulgare","(29, 5)"
"6498","Agalinis purpurea","(29, 5)"
"6499","Chrysomyxa arctostaphyli","29"
"6500","Ornithogalum umbellatum","(29, 5)"
"6501","Entylia carinata","29"
"6502","Melissodes bimaculatus","29"
"6503","Hybomitra illota","29"
"6504","Tabanus atratus","29"
"6505","Limnoporus dissortis","(29, 5)"
"6506","Epinotia nisella","(29, 5)"
"6507","Pedicularis canadensis","(29, 5)"
"6508","Eudonia strigalis","(29, 10)"
"6509","Lactarius salmonicolor","29"
"6510","Tragopogon dubius","29"
"6511","Glyceria striata","(29, 5)"
"6512","Pleroneura brunneicornis","29"
"6513","Zale duplicata","(29, 5, 10)"
"6514","Leucanthiza amphicarpeaefoliella","29"
"6515","Achillea filipendulina","29"
"6516","Dialysis elongata","29"
"6517","Caloptilia serotinella","29"
"6518","Cheimonophyllum candidissimum","29"
"6519","Lemna minor","(29, 5, 17, 19)"
"6520","Delphinia picta","29"
"6521","Parapoynx maculalis","(29, 10)"
"6522","Polemonium caeruleum","(29, 5)"
"6523","Calligrapha alni","(29, 5)"
"6524","Saucrobotys futilalis","(29, 10)"
"6525","Cucullia intermedia","(29, 10)"
"6526","Cortinarius caperatus","29"
"6527","Oenothera perennis","(29, 5)"
"6528","Aeshna constricta","(29, 4, 5)"
"6529","Luzula acuminata","(29, 5)"
"6530","Sthenopis purpurascens","29"
"6531","Argyrotaenia quercifoliana","(29, 5, 10)"
"6532","Pholiota squarrosoides","(29, 5)"
"6533","Streptopelia decaocto","(29, 27)"
"6534","Ophraella communa","29"
"6535","Boletus subvelutipes","29"
"6536","Phytomyza agromyzina","29"
"6537","Plodia interpunctella","(29, 5)"
"6538","Lepista nuda","29"
"6539","Arta statalis","29"
"6540","Moxostoma anisurum","29"
"6541","Epitheca princeps","(29, 4, 5)"
"6542","Psilocybe caerulipes","29"
"6543","Eoseristalis anthophorina","29"
"6544","Maclura pomifera","29"
"6545","Lacosoma chiridota","29"
"6546","Penthorum sedoides","(29, 5, 19)"
"6547","Vitis riparia","(29, 5)"
"6548","Nola cilicoides","29"
"6549","Pyrus communis","(29, 5)"
"6550","Aedes japonicus","29"
"6551","Ambystoma unisexual","29"
"6552","Viburnum lantana","(29, 5)"
"6553","Solanum lycopersicum","29"
"6554","Daedalea quercina","29"
"6555","Macrodiplosis niveipila","29"
"6556","Exobasidium vaccinii","29"
"6557","Perpolita electrina","29"
"6558","Norvellina seminuda","29"
"6559","Botryllus schlosseri","29"
"6560","Gnatocerus cornutus","29"
"6561","Phlogophora periculosa","(29, 5, 10)"
"6562","Platydracus mysticus","29"
"6563","Tricholoma equestre","29"
"6564","Chrysops indus","29"
"6565","Chilocorus stigma","29"
"6566","Cardamine impatiens","(29, 5, 14)"
"6567","Adelphocoris lineolatus","29"
"6568","Puccinia coronata","29"
"6569","Lonicera sempervirens","(29, 5)"
"6570","Utricularia intermedia","(29, 5, 17, 19)"
"6571","Dioctria hyalipennis","29"
"6572","Somatochlora septentrionalis","29"
"6573","Bidens vulgata","(29, 5)"
"6574","Alydus conspersus","(29, 5)"
"6575","Lysimachia arvensis","(29, 5)"
"6576","Hypomyces lactifluorum","(29, 5)"
"6577","Clavulina coralloides","29"
"6578","Narcissus pseudonarcissus","29"
"6579","Mentha canadensis","(29, 5, 19)"
"6580","Amanita elongata","29"
"6581","Sericomyia chrysotoxoides","(29, 5)"
"6582","Dichelotarsus cinctipennis","29"
"6583","Atocion armeria","(29, 5)"
"6584","Melampyrum lineare","(29, 5)"
"6585","Achyra rantalis","29"
"6586","Geminella ellipsoidea","29"
"6587","Pagophilus groenlandicus","(29, 27, 30)"
"6588","Onthophagus hecate","(29, 5)"
"6589","Typha angustifolia","(29, 5, 17, 19)"
"6590","Archips purpurana","(29, 5, 10)"
"6591","Euphrasia stricta","(29, 5)"
"6592","Rhinusa tetra","29"
"6593","Lindera benzoin","(29, 5)"
"6594","Oeneis jutta","(29, 5, 10)"
"6595","Lactuca hirsuta","(29, 5)"
"6596","Armadillidium vulgare","29"
"6597","Coptotomus longulus","29"
"6598","Pantala hymenaea","(29, 5)"
"6599","Paraeschra georgica","29"
"6600","Achroia grisella","29"
"6601","Juglans cinerea","(29, 5)"
"6602","Myzia pullata","29"
"6603","Suillus grevillei","29"
"6604","Anthidium manicatum","(29, 5, 11)"
"6605","Daphne mezereum","(29, 5, 14)"
"6606","Palaemon elegans","29"
"6607","Liriomyza arctii","29"
"6608","Parmotrema perlatum","(29, 5)"
"6609","Aphanocapsa grevillei","(29, 17, 19)"
"6610","Persicaria punctata","(29, 5)"
"6611","Solanum nigrum","(29, 5)"
"6612","Hydrurus foetidus","29"
"6613","Sagina procumbens","(29, 5)"
"6614","Cystopteris fragilis","(29, 5)"
"6615","Gliaspilota glutinosa","29"
"6616","Boloria bellona","(29, 10)"
"6617","Dasineura serrulatae","29"
"6618","Atriplex patula","(29, 5)"
"6619","Sutorius eximius","29"
"6620","Gymnopus dryophilus","29"
"6621","Lyonia ligustrina","(29, 5, 17, 19)"
"6622","Acontia candefacta","29"
"6623","Lestes eurinus","(29, 4, 5)"
"6624","Camponotus americanus","29"
"6625","Potamogeton natans","(29, 5, 17, 19)"
"6626","Trichopoda plumipes","29"
"6627","Eudryas unio","(29, 10)"
"6628","Colladonus clitellarius","(29, 5)"
"6629","Pallavicinia lyellii","(29, 5)"
"6630","Macrochilo litophora","29"
"6631","Andrena clarkella","(29, 5)"
"6632","Polystepha pilulae","29"
"6633","Philoscia muscorum","29"
"6634","Aquilegia vulgaris","(29, 5)"
"6635","Leucorrhinia glacialis","(29, 4, 5)"
"6636","Alces americanus","29"
"6637","Adiantum pedatum","(29, 5)"
"6638","Malus domestica","29"
"6639","Pannaria rubiginosa","(29, 5)"
"6640","Caripeta piniata","(29, 5, 10)"
"6641","Gloioxanthomyces nitidus","29"
"6642","Eumenes crucifera","29"
"6643","Leucania insueta","(29, 5)"
"6644","Calycomyza solidaginis","29"
"6645","Haematopis grataria","(29, 10)"
"6646","Psychoglypha subborealis","(29, 17, 19)"
"6647","Agrimonia striata","(29, 5)"
"6648","Melilotus officinalis","(29, 5)"
"6649","Harrimanella hypnoides","29"
"6650","Eubulus bisignatus","29"
"6651","Xeromphalina campanella","29"
"6652","Laphria thoracica","29"
"6653","Platyarthrus hoffmannseggii","29"
"6654","Lentinellus ursinus","29"
"6655","Cortinarius alboviolaceus","29"
"6656","Kretzschmaria deusta","29"
"6657","Opuntia humifusa","29"
"6658","Schizomyia impatientis","29"
"6659","Manduca sexta","(29, 10)"
"6660","Bolitophagus corticola","29"
"6661","Syringa vulgaris","(29, 5)"
"6662","Pulveroboletus ravenelii","29"
"6663","Cenopis reticulatana","29"
"6664","Pyrrhalta viburni","29"
"6665","Urocyon cinereoargenteus","(29, 5, 27)"
"6666","Protenor belfragei","(29, 5)"
"6667","Lineus sanguineus","29"
"6668","Clastoptera obtusa","(29, 5)"
"6669","Rhytisma americanum","29"
"6670","Orchesella cincta","29"
"6671","Viola canadensis","(29, 5)"
"6672","Inocybe geophylla","29"
"6673","Leiobunum aldrichi","29"
"6674","Jacobaea vulgaris","(29, 5)"
"6675","Allograpta obliqua","(29, 5)"
"6676","Geron calvus","29"
"6677","Linum usitatissimum","(29, 5)"
"6678","Psectraglaea carnosa","(29, 10)"
"6679","Carolana ascriptella","29"
"6680","Galium odoratum","29"
"6681","Petrosedum rupestre","29"
"6682","Eucosma raracana","29"
"6683","Dermochelys coriacea","(29, 5)"
"6684","Agromyza valdorensis","29"
"6685","Smilax herbacea","(29, 5)"
"6686","Scabiosa ochroleuca","29"
"6687","Chelostoma rapunculi","29"
"6688","Stenocorus vittiger","29"
"6689","Connopus acervatus","29"
"6690","Megachile rotundata","29"
"6691","Polygala sanguinea","(29, 5)"
"6692","Ranunculus abortivus","(29, 5)"
"6693","Calyptospora columnaris","29"
"6694","Quercus ilicifolia","(29, 5)"
"6695","Cipangopaludina chinensis","(29, 17, 19)"
"6696","Rubus occidentalis","(29, 5)"
"6697","Acleris chalybeana","29"
"6698","Erigeron pulchellus","(29, 5)"
"6699","Ponana puncticollis","29"
"6700","Lentinus levis","29"
"6701","Myrrhis odorata","29"
"6702","Cameraria guttifinitella","29"
"6703","Moehringia lateriflora","(29, 5)"
"6704","Anoplotrupes balyi","29"
"6705","Echinacea purpurea","29"
"6706","Helenium autumnale","(29, 5)"
"6707","Calycomyza flavinotum","29"
"6708","Lysimachia thyrsiflora","(29, 5)"
"6709","Aphyllon uniflorum","29"
"6710","Zale aeruginosa","(29, 5, 10)"
"6711","Neottia cordata","(29, 5)"
"6712","Cregya oculata","29"
"6713","Ipomoea purpurea","(29, 5)"
"6714","Rhagium inquisitor","(29, 5)"
"6715","Comandra umbellata","(29, 5)"
"6716","Pseudocyphellaria holarctica","29"
"6717","Philanthus ventilabris","29"
"6718","Sciaphilus asperatus","29"
"6719","Anthonomus corvulus","(29, 5)"
"6720","Aythya fuligula","(29, 27)"
"6721","Himantopus mexicanus","(29, 27)"
"6722","Parthenocissus vitacea","29"
"6723","Orgyia definita","(29, 10)"
"6724","Dosima fascicularis","29"
"6725","Isodontia mexicana","29"
"6726","Oligolophus tridens","29"
"6727","Menecles insertus","29"
"6728","Boreus brumalis","29"
"6729","Ovalipes ocellatus","(29, 23)"
"6730","Psoroma palmulata","29"
"6731","Urophora cardui","29"
"6732","Fallopia convolvulus","(29, 5)"
"6733","Podabrus rugosulus","29"
"6734","Doris pseudoargus","(29, 24)"
"6735","Dactylorhiza praetermissa","29"
"6736","Phellinus igniarius","29"
"6737","Heterosternuta wickhami","29"
"6738","Lobelia kalmii","(29, 5)"
"6739","Hemerobius stigma","29"
"6740","Vespula vidua","29"
"6741","Sylvicola fenestralis","29"
"6742","Epinotia momonana","(29, 5)"
"6743","Harmostes reflexulus","29"
"6744","Emys blandingii","29"
"6745","Tetrix subulata","(29, 5)"
"6746","Atalantycha bilineata","29"
"6747","Cortinarius scaurus","29"
"6748","Anthrenus verbasci","29"
"6749","Liriodendron tulipifera","29"
"6750","Enallagma geminatum","(29, 4, 5)"
"6751","Chrysosplenium americanum","(29, 5)"
"6752","Xanthidium cristatum","(29, 17, 19)"
"6753","Lytta sayi","29"
"6754","Stigmella intermedia","29"
"6755","Helophilus fasciatus","29"
"6756","Ailanthus altissima","(29, 14)"
"6757","Zizia aurea","29"
"6758","Lebia fuscata","(29, 5)"
"6759","Amanita fulva","29"
"6760","Amblyptilia pica","29"
"6761","Trillium cuneatum","29"
"6762","Phellinus betulinus","29"
"6763","Marimatha nigrofimbria","29"
"6764","Antherophagus ochraceus","(29, 5)"
"6765","Renia flavipunctalis","(29, 5, 10)"
"6766","Alaus oculatus","29"
"6767","Bondarzewia berkeleyi","29"
"6768","Carex plantaginea","(29, 5)"
"6769","Austroboletus gracilis","29"
